url,equipo,valor_mercado,liga,ataque,tecnica,velocidad,defensa,creatividad,partidos,valoracion_media
"https://www.sofascore.com/football/player/hajaj-ilay/1435405
",Maccabi Haifa,190K €,Israeli Premier League,43,43,31,41,43,13 Appearances,6.51
"https://www.sofascore.com/football/player/stephane-bahoken/153220
",Kayserispor,570K €,Trendyol Süper Lig,65,50,44,22,37,21 Appearances,6.69
"https://www.sofascore.com/football/player/dinis-pinto/1160980
",Moreirense,1.6M €,Liga Portugal Betclic,41,45,46,61,44,27 Appearances,6.86
"https://www.sofascore.com/football/player/mihail-caimacov/884871
",NK Slaven Belupo,370K €,HNL,54,53,39,36,57,28 Appearances,6.83
"https://www.sofascore.com/football/player/francis-abu/988801
",Cercle Brugge,1.9M €,Pro League,50,52,54,64,51,34 Appearances,6.94
"https://www.sofascore.com/football/player/jorge-grant/587102
",Heart of Midlothian,315K €,Scottish Premiership,51,50,46,51,51,31 Appearances,6.94
"https://www.sofascore.com/football/player/de-wolf-ortwin/877292
",KV Mechelen,1.1M €,Pro League,68,43,59,70,66,39 Appearances,7.16
"https://www.sofascore.com/football/player/janos-szepe/801359
",ETO FC Győr,365K €,NB I,35,44,51,65,39,24 Appearances,6.94
"https://www.sofascore.com/football/player/josema/826668
",Górnik Zabrze,380K €,Ekstraklasa,37,48,51,69,40,25 Appearances,7.13
"https://www.sofascore.com/football/player/raoul-bellanova/826185
",Atalanta,23M €,Serie A,57,62,44,49,68,35 Appearances,6.96
"https://www.sofascore.com/football/player/calum-ward/1047365
",Motherwell,195K €,Scottish Premiership,47,23,18,58,52,14 Appearances,7.23
"https://www.sofascore.com/football/player/fabio-ferraro/1145225
",FCV Dender,970K €,Pro League,51,55,42,52,54,38 Appearances,6.95
"https://www.sofascore.com/football/player/jasmin-buric/46136
",Zagłębie Lubin,26K €,Ekstraklasa,,,,,,,
"https://www.sofascore.com/football/player/karlsson-johan/1021937
",Malmö FF,390K €,Allsvenskan,39,47,36,55,41,23 Appearances,6.83
"https://www.sofascore.com/football/player/josip-misic/243713
",GNK Dinamo Zagreb,2.2M €,HNL,50,57,66,65,57,25 Appearances,7.10
"https://www.sofascore.com/football/player/julien-celestine/886358
",MZKS Arka Gdynia,360K €,Betclic 1. Liga,32,44,48,60,37,12 Appearances,6.83
"https://www.sofascore.com/football/player/oscar-hedvall/809281
",Viborg FF,780K €,Danish Superliga,,,,,,14 Appearances,7.46
"https://www.sofascore.com/football/player/luka-gagnidze/1006074
",Krylya Sovetov Samara,1.2M €,Russian Premier League,,,,,,11 Appearances,6.70
"https://www.sofascore.com/football/player/nedeljko-stojisic/939791
",OFK Beograd,165K €,Mozzart Bet Superliga,,,,,,,
"https://www.sofascore.com/football/player/athanasios-koutsogoulas/1196027
",MGS Panserraikos,205K €,Stoiximan Super League,,,,,,11 Appearances,6.72
"https://www.sofascore.com/football/player/amir-rrahmani/332155
",Napoli,12.7M €,Serie A,42,54,77,78,51,38 Appearances,7.30
"https://www.sofascore.com/football/player/kyriakos-kyriakou/1929419
",AEL Limassol,,Cyprus League by Stoiximan,,,,,,,
"https://www.sofascore.com/football/player/alexander-fesshaie/1175712
",AIK,410K €,Allsvenskan,,,,,,8 Appearances,6.66
"https://www.sofascore.com/football/player/baidoo-edmund/1805062
",Red Bull Salzburg,2.9M €,Austrian Bundesliga,62,71,39,31,53,17 Appearances,7.12
"https://www.sofascore.com/football/player/teddy-okou/878821
",FC Lausanne-Sport,825K €,Swiss Super League,61,59,45,37,55,37 Appearances,7.08
"https://www.sofascore.com/football/player/philipp-kohn/868964
",AS Monaco,5.2M €,Ligue 1,66,51,56,71,66,19 Appearances,6.97
"https://www.sofascore.com/football/player/ege-bilsel/1011244
",Bodrum FK,905K €,Trendyol Süper Lig,,,,,,23 Appearances,6.68
"https://www.sofascore.com/football/player/breel-embolo/352296
",AS Monaco,10.9M €,Ligue 1,65,42,46,23,61,29 Appearances,6.85
"https://www.sofascore.com/football/player/pinheiro-rodrigo/991924
",Famalicão,2.4M €,Liga Portugal Betclic,41,46,43,61,49,29 Appearances,6.99
"https://www.sofascore.com/football/player/enric-llansana/916951
",Go Ahead Eagles,4.2M €,Eredivisie,53,47,54,61,56,33 Appearances,7.15
"https://www.sofascore.com/football/player/beni-nkololo/837300
",CFR 1907 Cluj,960K €,Romanian Super Liga,63,55,54,45,56,28 Appearances,7.14
"https://www.sofascore.com/football/player/nikita-contini/352728
",Napoli,390K €,Serie A,,,,,,,
"https://www.sofascore.com/football/player/yannick-gomis/845121
",Aris Limassol,470K €,Cyprus League by Stoiximan,60,64,43,33,48,35 Appearances,7.01
"https://www.sofascore.com/football/player/tommaso-augello/596736
",Cagliari,1.7M €,Serie A,55,60,43,51,68,38 Appearances,6.93
"https://www.sofascore.com/football/player/sondre-liseth/921442
",Górnik Zabrze,270K €,Ekstraklasa,55,49,42,37,50,20 Appearances,6.79
"https://www.sofascore.com/football/player/dario-spikic/826024
",Aris Thessaloniki,1.7M €,Stoiximan Super League,53,49,38,43,46,14 Appearances,6.79
"https://www.sofascore.com/football/player/juan-foyth/873189
",Villarreal,10.8M €,LaLiga,40,51,68,78,50,19 Appearances,7.13
"https://www.sofascore.com/football/player/noah-edjouma/1512354
",Toulouse 2,48K €,National 3 Groupe A,,,,,,10 Appearances,6.44
