url,equipo,valor_mercado,ataque,tecnica,velocidad,defensa,creatividad,liga,partidos,valoracion_media
https://www.sofascore.com/football/player/stipe-radic/879729,Viborg FF,775K €,36,48,60,64,41,Danish Superliga,20 Appearances,7.10
https://www.sofascore.com/football/player/oleksandr-kamenskyi/1957054,FC Kryvbas Kryvyi Rih,,,,,,,Ukrainian Premier League,,
https://www.sofascore.com/football/player/mees-hoedemakers/893748,NEC Nijmegen,930K €,49,52,55,60,54,Eredivisie,28 Appearances,6.91
https://www.sofascore.com/football/player/soualiho-meite/139229,PAOK,2.1M €,,,,,,Stoiximan Super League,10 Appearances,6.74
https://www.sofascore.com/football/player/giannis-kalanidis/1408179,Nea Salamina Famagusta,79K €,,,,,,Cyprus League by Stoiximan,,
https://www.sofascore.com/football/player/niklas-odegard/1134558,Kristiansund BK,670K €,49,41,36,36,42,Eliteserien,20 Appearances,6.53
https://www.sofascore.com/football/player/bremer/885197,Juventus,47M €,,,,,,Serie A,,
https://www.sofascore.com/football/player/raul-albiol/3041,Villarreal,950K €,34,45,54,64,42,LaLiga,15 Appearances,6.68
https://www.sofascore.com/football/player/adriano-jagusic/1495717,NK Slaven Belupo,1.6M €,49,52,45,42,53,HNL,27 Appearances,6.94
https://www.sofascore.com/football/player/verschaeren-yari/901898,RSC Anderlecht,4.8M €,59,58,53,53,61,Pro League,34 Appearances,7.12
https://www.sofascore.com/football/player/ravych-christiaan/1191212,Cercle Brugge,5.2M €,35,42,61,79,36,Pro League,36 Appearances,7.01
https://www.sofascore.com/football/player/niko-garic/1520938,HNK Vukovar 1991,120K €,,,,,,1. NL,,
https://www.sofascore.com/football/player/ivan-fiolic/283855,HNK Gorica,315K €,,,,,,HNL,,
https://www.sofascore.com/football/player/sergi-cardona/986245,Villarreal,9.5M €,46,47,48,68,64,LaLiga,35 Appearances,7.06
https://www.sofascore.com/football/player/michael-kempter/802500,Muang Thong United,105K €,,,,,,Thai League 1,,
https://www.sofascore.com/football/player/mogilnyi-bogdan/1500184,Inhulets Petrove,270K €,51,57,26,26,43,Ukrainian Premier League,22 Appearances,6.41
https://www.sofascore.com/football/player/maill-lundgren/1383529,Degerfors IF,,,,,,,Allsvenskan,6 Appearances,6.84
https://www.sofascore.com/football/player/victor-valdepenas/1901143,Real Madrid Castilla,455K €,,,,,,Primera Federación,14 Appearances,6.54
https://www.sofascore.com/football/player/nemanja-vidojevic/1146281,FK Železničar Pančevo,260K €,,,,,,Mozzart Bet Superliga,14 Appearances,6.90
https://www.sofascore.com/football/player/nikola-vujovic/1981894,FK Spartak Subotica U19,,,,,,,U19 Serbian League,,
https://www.sofascore.com/football/player/paris-brunner/1403216,Cercle Brugge,1.6M €,65,54,39,26,41,Pro League,20 Appearances,6.79
https://www.sofascore.com/football/player/veloso-joao/1215905,Benfica B,485K €,,,,,,Liga Portugal 2,20 Appearances,6.72
